chrom	start	end	chrom_arm	bin_name
2	45000001	4.6e+07	2p	2p_46
2	46000001	4.7e+07	2p	2p_47
2	47000001	4.8e+07	2p	2p_48
2	48000001	4.9e+07	2p	2p_49
2	49000001	5e+07	2p	2p_50
2	50000001	5.1e+07	2p	2p_51
2	51000001	5.2e+07	2p	2p_52
2	52000001	5.3e+07	2p	2p_53
2	53000001	5.4e+07	2p	2p_54
2	54000001	5.5e+07	2p	2p_55
2	55000001	5.6e+07	2p	2p_56
2	56000001	5.7e+07	2p	2p_57
2	57000001	5.8e+07	2p	2p_58
2	58000001	5.9e+07	2p	2p_59
2	59000001	6e+07	2p	2p_60
2	60000001	6.1e+07	2p	2p_61
2	61000001	6.2e+07	2p	2p_62
2	62000001	6.3e+07	2p	2p_63
2	63000001	6.4e+07	2p	2p_64
2	64000001	6.5e+07	2p	2p_65
2	65000001	6.6e+07	2p	2p_66
2	66000001	6.7e+07	2p	2p_67
2	67000001	6.8e+07	2p	2p_68
2	68000001	6.9e+07	2p	2p_69
2	69000001	7e+07	2p	2p_70
2	70000001	7.1e+07	2p	2p_71
2	71000001	7.2e+07	2p	2p_72
2	72000001	7.3e+07	2p	2p_73
2	73000001	7.4e+07	2p	2p_74
2	74000001	7.5e+07	2p	2p_75
2	75000001	7.6e+07	2p	2p_76
2	76000001	7.7e+07	2p	2p_77
2	77000001	7.8e+07	2p	2p_78
2	78000001	7.9e+07	2p	2p_79
2	79000001	8e+07	2p	2p_80
2	80000001	8.1e+07	2p	2p_81
2	81000001	8.2e+07	2p	2p_82
2	82000001	8.3e+07	2p	2p_83
2	83000001	8.4e+07	2p	2p_84
2	84000001	8.5e+07	2p	2p_85
2	85000001	8.6e+07	2p	2p_86
2	86000001	8.7e+07	2p	2p_87
2	87000001	8.8e+07	2p	2p_88
2	88000001	8.9e+07	2p	2p_89
2	89000001	9e+07	2p	2p_90
2	90000001	9.1e+07	2p	2p_91
2	91000001	9.2e+07	2p	2p_92
2	92000001	9.3e+07	2p	2p_93
2	93000001	93826170	2pq	2pq_1
2	93826171	9.4e+07	2pq	2pq_2
2	94000001	9.5e+07	2q	2q_1
2	95000001	9.6e+07	2q	2q_2
2	96000001	9.7e+07	2q	2q_3
2	97000001	9.8e+07	2q	2q_4
2	98000001	9.9e+07	2q	2q_5
2	99000001	1e+08	2q	2q_6
2	100000001	1.01e+08	2q	2q_7
2	101000001	1.02e+08	2q	2q_8
2	102000001	1.03e+08	2q	2q_9
2	103000001	1.04e+08	2q	2q_10
2	104000001	1.05e+08	2q	2q_11
2	105000001	1.06e+08	2q	2q_12
2	106000001	1.07e+08	2q	2q_13
2	107000001	1.08e+08	2q	2q_14
2	108000001	1.09e+08	2q	2q_15
2	109000001	1.1e+08	2q	2q_16
2	110000001	1.11e+08	2q	2q_17
2	111000001	1.12e+08	2q	2q_18
2	112000001	1.13e+08	2q	2q_19
2	113000001	1.14e+08	2q	2q_20
2	114000001	1.15e+08	2q	2q_21
2	115000001	1.16e+08	2q	2q_22
2	116000001	1.17e+08	2q	2q_23
2	117000001	1.18e+08	2q	2q_24
2	118000001	1.19e+08	2q	2q_25
2	119000001	1.2e+08	2q	2q_26
2	120000001	1.21e+08	2q	2q_27
2	121000001	1.22e+08	2q	2q_28
2	122000001	1.23e+08	2q	2q_29
2	123000001	1.24e+08	2q	2q_30
2	124000001	1.25e+08	2q	2q_31
2	125000001	1.26e+08	2q	2q_32
2	126000001	1.27e+08	2q	2q_33
2	127000001	1.28e+08	2q	2q_34
2	128000001	1.29e+08	2q	2q_35
2	129000001	1.3e+08	2q	2q_36
2	130000001	1.31e+08	2q	2q_37
2	131000001	1.32e+08	2q	2q_38
2	132000001	1.33e+08	2q	2q_39
2	133000001	1.34e+08	2q	2q_40
2	134000001	1.35e+08	2q	2q_41
2	135000001	1.36e+08	2q	2q_42
2	136000001	1.37e+08	2q	2q_43
2	137000001	1.38e+08	2q	2q_44
2	138000001	1.39e+08	2q	2q_45
2	139000001	1.4e+08	2q	2q_46
2	140000001	1.41e+08	2q	2q_47
2	141000001	1.42e+08	2q	2q_48
2	142000001	1.43e+08	2q	2q_49
2	143000001	1.44e+08	2q	2q_50
2	144000001	1.45e+08	2q	2q_51
2	145000001	1.46e+08	2q	2q_52
2	146000001	1.47e+08	2q	2q_53
2	147000001	1.48e+08	2q	2q_54
2	148000001	1.49e+08	2q	2q_55
2	149000001	1.5e+08	2q	2q_56
2	150000001	1.51e+08	2q	2q_57
2	151000001	1.52e+08	2q	2q_58
2	152000001	1.53e+08	2q	2q_59
2	153000001	1.54e+08	2q	2q_60
2	154000001	1.55e+08	2q	2q_61
2	155000001	1.56e+08	2q	2q_62
2	156000001	1.57e+08	2q	2q_63
2	157000001	1.58e+08	2q	2q_64
2	158000001	1.59e+08	2q	2q_65
2	159000001	1.6e+08	2q	2q_66
2	160000001	1.61e+08	2q	2q_67
2	161000001	1.62e+08	2q	2q_68
2	162000001	1.63e+08	2q	2q_69
2	163000001	1.64e+08	2q	2q_70
2	164000001	1.65e+08	2q	2q_71
2	165000001	1.66e+08	2q	2q_72
2	166000001	1.67e+08	2q	2q_73
2	167000001	1.68e+08	2q	2q_74
2	168000001	1.69e+08	2q	2q_75
2	169000001	1.7e+08	2q	2q_76
2	170000001	1.71e+08	2q	2q_77
2	171000001	1.72e+08	2q	2q_78
2	172000001	1.73e+08	2q	2q_79
2	173000001	1.74e+08	2q	2q_80
2	174000001	1.75e+08	2q	2q_81
2	175000001	1.76e+08	2q	2q_82
2	176000001	1.77e+08	2q	2q_83
2	177000001	1.78e+08	2q	2q_84
2	178000001	1.79e+08	2q	2q_85
2	179000001	1.8e+08	2q	2q_86
2	180000001	1.81e+08	2q	2q_87
2	181000001	1.82e+08	2q	2q_88
2	182000001	1.83e+08	2q	2q_89
2	183000001	1.84e+08	2q	2q_90
2	184000001	1.85e+08	2q	2q_91
2	185000001	1.86e+08	2q	2q_92
2	186000001	1.87e+08	2q	2q_93
2	187000001	1.88e+08	2q	2q_94
2	188000001	1.89e+08	2q	2q_95
2	189000001	1.9e+08	2q	2q_96
2	190000001	1.91e+08	2q	2q_97
2	191000001	1.92e+08	2q	2q_98
2	192000001	1.93e+08	2q	2q_99
2	193000001	1.94e+08	2q	2q_100
2	194000001	1.95e+08	2q	2q_101
2	195000001	1.96e+08	2q	2q_102
2	196000001	1.97e+08	2q	2q_103
2	197000001	1.98e+08	2q	2q_104
2	198000001	1.99e+08	2q	2q_105
2	199000001	2e+08	2q	2q_106
2	200000001	2.01e+08	2q	2q_107
2	201000001	2.02e+08	2q	2q_108
2	202000001	2.03e+08	2q	2q_109
2	203000001	2.04e+08	2q	2q_110
2	204000001	2.05e+08	2q	2q_111
2	205000001	2.06e+08	2q	2q_112
2	206000001	2.07e+08	2q	2q_113
2	207000001	2.08e+08	2q	2q_114
2	208000001	2.09e+08	2q	2q_115
2	209000001	2.1e+08	2q	2q_116
2	210000001	2.11e+08	2q	2q_117
2	211000001	2.12e+08	2q	2q_118
2	212000001	2.13e+08	2q	2q_119
2	213000001	2.14e+08	2q	2q_120
2	214000001	2.15e+08	2q	2q_121
2	215000001	2.16e+08	2q	2q_122
2	216000001	2.17e+08	2q	2q_123
2	217000001	2.18e+08	2q	2q_124
2	218000001	2.19e+08	2q	2q_125
2	219000001	2.2e+08	2q	2q_126
2	220000001	2.21e+08	2q	2q_127
2	221000001	2.22e+08	2q	2q_128
2	222000001	2.23e+08	2q	2q_129
2	223000001	2.24e+08	2q	2q_130
2	224000001	2.25e+08	2q	2q_131
2	225000001	2.26e+08	2q	2q_132
2	226000001	2.27e+08	2q	2q_133
2	227000001	2.28e+08	2q	2q_134
2	228000001	2.29e+08	2q	2q_135
2	229000001	2.3e+08	2q	2q_136
2	230000001	2.31e+08	2q	2q_137
2	231000001	2.32e+08	2q	2q_138
2	232000001	2.33e+08	2q	2q_139
2	233000001	2.34e+08	2q	2q_140
2	234000001	2.35e+08	2q	2q_141
2	235000001	2.36e+08	2q	2q_142
2	236000001	2.37e+08	2q	2q_143
2	237000001	2.38e+08	2q	2q_144
2	238000001	2.39e+08	2q	2q_145
2	239000001	2.4e+08	2q	2q_146
2	240000001	2.41e+08	2q	2q_147
2	241000001	2.42e+08	2q	2q_148
2	242000001	2.43e+08	2q	2q_149
2	243000001	243199373	2q	2q_150
3	1	1e+06	3p	3p_1
3	1000001	2e+06	3p	3p_2
3	2000001	3e+06	3p	3p_3
3	3000001	4e+06	3p	3p_4
3	4000001	5e+06	3p	3p_5
3	5000001	6e+06	3p	3p_6
3	6000001	7e+06	3p	3p_7
3	7000001	8e+06	3p	3p_8
3	8000001	9e+06	3p	3p_9
3	9000001	1e+07	3p	3p_10
3	10000001	1.1e+07	3p	3p_11
3	11000001	1.2e+07	3p	3p_12
3	12000001	1.3e+07	3p	3p_13
3	13000001	1.4e+07	3p	3p_14
3	14000001	1.5e+07	3p	3p_15
3	15000001	1.6e+07	3p	3p_16
3	16000001	1.7e+07	3p	3p_17
3	17000001	1.8e+07	3p	3p_18
3	18000001	1.9e+07	3p	3p_19
3	19000001	2e+07	3p	3p_20
3	20000001	2.1e+07	3p	3p_21
3	21000001	2.2e+07	3p	3p_22
3	22000001	2.3e+07	3p	3p_23
3	23000001	2.4e+07	3p	3p_24
3	24000001	2.5e+07	3p	3p_25
3	25000001	2.6e+07	3p	3p_26
3	26000001	2.7e+07	3p	3p_27
3	27000001	2.8e+07	3p	3p_28
3	28000001	2.9e+07	3p	3p_29
3	29000001	3e+07	3p	3p_30
3	30000001	3.1e+07	3p	3p_31
3	31000001	3.2e+07	3p	3p_32
3	32000001	3.3e+07	3p	3p_33
3	33000001	3.4e+07	3p	3p_34
3	34000001	3.5e+07	3p	3p_35
3	35000001	3.6e+07	3p	3p_36
3	36000001	3.7e+07	3p	3p_37
3	37000001	3.8e+07	3p	3p_38
3	38000001	3.9e+07	3p	3p_39
3	39000001	4e+07	3p	3p_40
3	40000001	4.1e+07	3p	3p_41
3	41000001	4.2e+07	3p	3p_42
3	42000001	4.3e+07	3p	3p_43
3	43000001	4.4e+07	3p	3p_44
3	44000001	4.5e+07	3p	3p_45
3	45000001	4.6e+07	3p	3p_46
3	46000001	4.7e+07	3p	3p_47
3	47000001	4.8e+07	3p	3p_48
3	48000001	4.9e+07	3p	3p_49
3	49000001	5e+07	3p	3p_50
3	50000001	5.1e+07	3p	3p_51
3	51000001	5.2e+07	3p	3p_52
3	52000001	5.3e+07	3p	3p_53
3	53000001	5.4e+07	3p	3p_54
3	54000001	5.5e+07	3p	3p_55
3	55000001	5.6e+07	3p	3p_56
3	56000001	5.7e+07	3p	3p_57
3	57000001	5.8e+07	3p	3p_58
3	58000001	5.9e+07	3p	3p_59
3	59000001	6e+07	3p	3p_60
3	60000001	6.1e+07	3p	3p_61
3	61000001	6.2e+07	3p	3p_62
3	62000001	6.3e+07	3p	3p_63
3	63000001	6.4e+07	3p	3p_64
3	64000001	6.5e+07	3p	3p_65
3	65000001	6.6e+07	3p	3p_66
3	66000001	6.7e+07	3p	3p_67
3	67000001	6.8e+07	3p	3p_68
3	68000001	6.9e+07	3p	3p_69
3	69000001	7e+07	3p	3p_70
3	70000001	7.1e+07	3p	3p_71
3	71000001	7.2e+07	3p	3p_72
3	72000001	7.3e+07	3p	3p_73
3	73000001	7.4e+07	3p	3p_74
3	74000001	7.5e+07	3p	3p_75
3	75000001	7.6e+07	3p	3p_76
3	76000001	7.7e+07	3p	3p_77
3	77000001	7.8e+07	3p	3p_78
3	78000001	7.9e+07	3p	3p_79
3	79000001	8e+07	3p	3p_80
3	80000001	8.1e+07	3p	3p_81
3	81000001	8.2e+07	3p	3p_82
3	82000001	8.3e+07	3p	3p_83
3	83000001	8.4e+07	3p	3p_84
3	84000001	8.5e+07	3p	3p_85
3	85000001	8.6e+07	3p	3p_86
3	86000001	8.7e+07	3p	3p_87
3	87000001	8.8e+07	3p	3p_88
3	88000001	8.9e+07	3p	3p_89
3	89000001	9e+07	3p	3p_90
3	90000001	9.1e+07	3p	3p_91
3	91000001	9.2e+07	3p	3p_92
3	92000001	92004853	3pq	3pq_1
3	92004854	9.3e+07	3pq	3pq_2
3	93000001	9.4e+07	3q	3q_1
3	94000001	9.5e+07	3q	3q_2
3	95000001	9.6e+07	3q	3q_3
3	96000001	9.7e+07	3q	3q_4
3	97000001	9.8e+07	3q	3q_5
3	98000001	9.9e+07	3q	3q_6
3	99000001	1e+08	3q	3q_7
3	100000001	1.01e+08	3q	3q_8
3	101000001	1.02e+08	3q	3q_9
3	102000001	1.03e+08	3q	3q_10
3	103000001	1.04e+08	3q	3q_11
3	104000001	1.05e+08	3q	3q_12
3	105000001	1.06e+08	3q	3q_13
3	106000001	1.07e+08	3q	3q_14
3	107000001	1.08e+08	3q	3q_15
3	108000001	1.09e+08	3q	3q_16
3	109000001	1.1e+08	3q	3q_17
3	110000001	1.11e+08	3q	3q_18
3	111000001	1.12e+08	3q	3q_19
3	112000001	1.13e+08	3q	3q_20
3	113000001	1.14e+08	3q	3q_21
3	114000001	1.15e+08	3q	3q_22
3	115000001	1.16e+08	3q	3q_23
3	116000001	1.17e+08	3q	3q_24
3	117000001	1.18e+08	3q	3q_25
3	118000001	1.19e+08	3q	3q_26
3	119000001	1.2e+08	3q	3q_27
3	120000001	1.21e+08	3q	3q_28
3	121000001	1.22e+08	3q	3q_29
3	122000001	1.23e+08	3q	3q_30
3	123000001	1.24e+08	3q	3q_31
3	124000001	1.25e+08	3q	3q_32
3	125000001	1.26e+08	3q	3q_33
3	126000001	1.27e+08	3q	3q_34
3	127000001	1.28e+08	3q	3q_35
3	128000001	1.29e+08	3q	3q_36
3	129000001	1.3e+08	3q	3q_37
3	130000001	1.31e+08	3q	3q_38
3	131000001	1.32e+08	3q	3q_39
3	132000001	1.33e+08	3q	3q_40
3	133000001	1.34e+08	3q	3q_41
3	134000001	1.35e+08	3q	3q_42
3	135000001	1.36e+08	3q	3q_43
3	136000001	1.37e+08	3q	3q_44
3	137000001	1.38e+08	3q	3q_45
3	138000001	1.39e+08	3q	3q_46
3	139000001	1.4e+08	3q	3q_47
3	140000001	1.41e+08	3q	3q_48
3	141000001	1.42e+08	3q	3q_49
3	142000001	1.43e+08	3q	3q_50
3	143000001	1.44e+08	3q	3q_51
3	144000001	1.45e+08	3q	3q_52
3	145000001	1.46e+08	3q	3q_53
3	146000001	1.47e+08	3q	3q_54
3	147000001	1.48e+08	3q	3q_55
3	148000001	1.49e+08	3q	3q_56
3	149000001	1.5e+08	3q	3q_57
3	150000001	1.51e+08	3q	3q_58
3	151000001	1.52e+08	3q	3q_59
3	152000001	1.53e+08	3q	3q_60
3	153000001	1.54e+08	3q	3q_61
3	154000001	1.55e+08	3q	3q_62
3	155000001	1.56e+08	3q	3q_63
3	156000001	1.57e+08	3q	3q_64
3	157000001	1.58e+08	3q	3q_65
3	158000001	1.59e+08	3q	3q_66
3	159000001	1.6e+08	3q	3q_67
3	160000001	1.61e+08	3q	3q_68
3	161000001	1.62e+08	3q	3q_69
3	162000001	1.63e+08	3q	3q_70
3	163000001	1.64e+08	3q	3q_71
3	164000001	1.65e+08	3q	3q_72
3	165000001	1.66e+08	3q	3q_73
3	166000001	1.67e+08	3q	3q_74
3	167000001	1.68e+08	3q	3q_75
3	168000001	1.69e+08	3q	3q_76
3	169000001	1.7e+08	3q	3q_77
3	170000001	1.71e+08	3q	3q_78
3	171000001	1.72e+08	3q	3q_79
3	172000001	1.73e+08	3q	3q_80
